Start Station Name,Rides Started
Leavitt St & Lawrence Ave,1086
Leavitt St & North Ave,3102
Legler Regional Library,1
Lincoln Ave & Addison St,1793
Lincoln Ave & Balmoral Ave,357
Lincoln Ave & Belle Plaine Ave,2147
Lincoln Ave & Belmont Ave,957
Lincoln Ave & Belmont Ave (Temp),2437
Lincoln Ave & Diversey Pkwy,5682
Lincoln Ave & Fullerton Ave,8824
Lincoln Ave & Peterson Ave,300
Lincoln Ave & Roscoe St,1169
Lincoln Ave & Roscoe St*,2705
Lincoln Ave & Sunnyside Ave,2212
Lincoln Ave & Waveland Ave,1859
Lincoln Ave & Winona St,1095
Lincoln Park Conservatory,7436
Lincolnwood Dr & Central St,220
Linder Ave & Belmont Ave,2
Lockwood Ave & Wrightwood Ave,248
Logan Blvd & Elston Ave,2541
Long & Irving Park,603
Long Ave & Belden Ave,185
Long Ave & Belmont Ave,210
Long Ave & North Ave,72
Longwood Dr & 111th St,6
Longwood Dr & 95th St,3
Loomis Blvd & 83rd St,1
Loomis Blvd & 84th St,75
Loomis St & 87th St,3
Loomis St & 89th St,126
Loomis St & Archer Ave,581
Loomis St & Jackson Blvd,1676
Loomis St & Lexington St,3024
Loomis St & Lexington St*,61
Lorel Ave & Chicago Ave,1
Lowe Ave & 98th St,2
Lowe Park,1
Lowell Ave & Elston Ave,29
Mackinaw Ave & 106th St,5
Mackinaw Ave & 108th St,7
Major Ave & Bloomingdale Ave,75
Major Taylor Trail & 115th St,105
Major Taylor Trail & 124th St,90
Malcolm X College,141
Malcolm X College Vaccination Site,694
Manor Ave & Leland Ave,643
Maplewood Ave & 59th St,100
Maplewood Ave & Peterson Ave,366
Marine Dr & Ainslie St,3461
Marquette Ave & 79th St,28
Marquette Ave & 89th St,103
Marshfield Ave & 44th St,171
Marshfield Ave & 45th St,4
Marshfield Ave & 59th St,37
Marshfield Ave & 87th St,6
Martin Luther King Dr & 111th St,34
Martin Luther King Dr & 44th St,5
Martin Luther King Dr & 69th St,2
Maryland Ave & 104th St,126
Maryland Ave & 87th ST,3
Mason Ave & Belmont Ave,112
Mason Ave & Roosevelt Rd,9
May St & 63rd St,2
May St & 69th St,60
May St & 78th St,1
May St & Cullerton St,1102
May St & Taylor St,2596
Mayfield & Roosevelt Rd,15
McClurg Ct & Erie St,5560
McClurg Ct & Ohio St,9691
McCormick Blvd & Devon Ave,2
McCormick Place,4283
McVicker Ave & Grand Ave,5
Meade Ave & Addison St,118
Meade Ave & Diversey Ave,191
Melvina Ave & Belmont Ave,5
Menard Ave & Adams Blvd,2
Menard Ave & Agusta Blvd,7
Menard Ave & Belmont Ave,4
Menard Ave & Dakin St - midblock,9
Menard Ave & Division St,59
Menard Ave & Grand Ave,8
Menard Ave & Madison St,5
Menard Ave & North Ave,41
Michigan Ave & 102nd St,1
Michigan Ave & 110th St,4
Michigan Ave & 113th St,2
Michigan Ave & 114th St,60
Michigan Ave & 119th St,2
Michigan Ave & 14th St,4484
Michigan Ave & 18th St,3745
Michigan Ave & 71st St,81
Michigan Ave & 8th St,11400
Michigan Ave & 96th St,2
Michigan Ave & Ida B Wells Dr,4786
Michigan Ave & Jackson Blvd,8046
Michigan Ave & Lake St,9958
Michigan Ave & Madison St,5476
Michigan Ave & Oak St,25265
Michigan Ave & Pearson St,5523
Michigan Ave & Washington St,11287
Midway Orange Line,124
Mies van der Rohe Way & Chestnut St,6575
Mies van der Rohe Way & Chicago Ave,5696
Millard Ave & 26th St,250
Millennium Park,25530
Milwaukee Ave & Addison St,24
Milwaukee Ave & Cuyler Ave,418
Milwaukee Ave & Diversey Ave,72
Milwaukee Ave & Fullerton Ave,1970
Milwaukee Ave & Grand Ave,6140
Milwaukee Ave & Haussen Ct,33
Milwaukee Ave & Rockwell St,2351
Milwaukee Ave & School St,17
Milwaukee Ave & Wabansia Ave,5071
Milwaukee Ave & Waveland Ave,6
MLK Jr Dr & 29th St,1765
MLK Jr Dr & 47th St,336
MLK Jr Dr & 56th St,270
MLK Jr Dr & 63rd St,323
MLK Jr Dr & 83rd St,66
MLK Jr Dr & Pershing Rd,663
Monticello Ave & Belmont Ave,38
Monticello Ave & Chicago Ave,70
Monticello Ave & Irving Park Rd,809
Montrose Harbor,12656
Morgan Ave & 14th Pl,1287
Morgan St & 103rd St,1
Morgan St & 18th St,2321
Morgan St & 31st St,1080
Morgan St & 87th St,7
Morgan St & 95th St,2
Morgan St & Lake St,3501
Morgan St & Lake St*,2354
Morgan St & Pershing Rd,69
Morgan St & Polk St,2611
Mozart Elementary School,69
Mozart St & Jackson Blvd,35
Mt Greenwood Library - North,3
Mt Greenwood Library - South,6
MTV Hubbard St,136
Mulligan Ave & Wellington Ave,186
Museum of Science and Industry,2881
Muskegon Ave & 89th St,1
N Carpenter St & W Lake St,931
N Clark St & W Elm St,114
N Damen Ave & W Chicago Ave,230
N Green St & W Lake St,3318
N Narragansett Ave & Grand Ave,32
N Paulina St & Lincoln Ave,492
N Sayre Ave & W Belden Ave,1
N Sheffield Ave & W Wellington Ave,845
N Shore Channel Trail & Argyle St,472
N Southport Ave & W Newport Ave,555
Nagle Ave & Belmont Ave,21
Narragansett & Irving Park,236
Narragansett & McLean,83
Narragansett & Wrightwood,719
Narragansett Ave & Fullerton Ave,9
Narragansett Ave & School St,198
Neva Ave & Grand Ave,20
New England Ave & Grace St,1
New St & Illinois St,10711
Newcastle Ave & Belden Ave,38
Newcastle Ave & Belmont Ave,7
Newcastle Ave & Wellington Ave,3
NewHastings,52
Newland Ave & Diversey Ave,5
Noble St & Milwaukee Ave,2878
Nordica & Medill,67
Nordica Ave & Addison St,2
Normal Ave & 72nd St,3
Normal Ave & Archer Ave,329
North Ave & New England Ave,40
Oak Park & Wellington,195
Oakley Ave & Irving Park Rd,1031
Oakley Ave & Touhy Ave,320
Ogden Ave & Chicago Ave,4479
Ogden Ave & Congress Pkwy,911
Ogden Ave & Race Ave,3225
Ogden Ave & Roosevelt Rd,560
Oglesby Ave & 100th St,63
Oglesby Ave & 105th St,1
Oketo Ave & Addison St,115
Oketo Ave & Belmont Ave,8
Oleander Ave & Addison St,5
Olive Harvey College,20
Orange & Addison,173
Orleans St & Chestnut St (NEXT Apts),3642
Orleans St & Elm St,1774
Orleans St & Hubbard St,2866
